raceId,driverId,stop,lap,duration,milliseconds
852,5,3,33,535:20:38,22306
852,10,4,35,521:18:14,21721
852,816,2,36,530:44:10,22114
852,22,3,40,1146:04:19,47753
853,155,1,1,661:12:00,27550
853,22,1,1,699:46:05,29157
853,811,1,2,540:48:58,22534
853,817,1,1,16:44.718,1004718
853,15,1,5,729:23:02,30391
853,814,1,13,524:52:48,21870
853,30,1,16,545:00:58,22709
853,67,1,16,581:36:58,24234
853,18,1,17,519:50:24,21660
853,1,1,18,529:59:31,22083
853,155,2,18,550:32:10,22939
853,4,1,19,540:56:10,22539
853,813,1,19,553:30:43,23063
853,811,2,19,555:28:48,23145
853,20,1,20,530:58:34,22124
853,153,1,20,527:42:43,21988
853,10,1,20,603:31:41,25147
853,13,1,21,523:42:14,21821
853,5,1,21,559:09:07,23298
853,15,2,24,562:04:48,23420
853,814,2,31,553:39:22,23069
853,22,2,32,561:56:10,23414
853,18,2,33,530:16:48,22095
853,817,2,20,738:38:53,30777
853,4,2,34,527:44:10,21989
853,1,2,34,525:01:26,21876
853,20,2,35,513:04:19,21378
853,5,2,35,542:39:50,22611
853,30,2,37,528:20:10,22014
853,813,2,37,542:44:10,22614
853,10,2,38,546:48:58,22784
853,67,2,40,578:03:50,24086
853,811,3,40,534:33:07,22273
853,13,2,41,531:33:07,22148
853,153,2,41,534:41:46,22279
854,817,1,1,1060:04:48,44170
854,3,1,9,709:10:34,29549
854,4,1,10,734:54:14,30621
854,30,1,10,710:38:24,29610
854,811,1,10,849:33:07,35398
854,13,1,11,726:57:36,30290
854,1,1,11,723:24:29,30142
854,16,1,11,737:13:55,30718
854,813,1,11,741:18:43,30888
854,67,1,11,787:50:53,32827
854,5,1,11,772:50:53,32202
854,811,2,11,884:32:38,36856
854,17,1,12,731:05:17,30462
854,22,1,12,730:56:38,30456
854,13,2,12,776:25:26,32351
854,1,2,13,802:56:38,33456
854,24,1,13,823:53:46,34329
854,20,1,14,720:33:07,30023
854,18,1,14,724:03:22,30169
854,815,1,15,739:26:24,30810
854,1,3,15,584:12:29,24342
854,155,1,16,731:08:10,30464
854,15,1,16,745:09:07,31048
854,808,1,16,739:22:05,30807
854,817,2,15,834:46:05,34782
854,816,1,16,762:18:43,31763
854,153,1,17,742:45:07,30948
854,814,1,19,736:53:46,30704
854,15,2,19,799:36:29,33317
